Elapsed Time (s),IP Address,Queries
2,192.168.0.19,3
3,192.168.0.19,4
4,192.168.0.19,4
4,192.168.0.12,2
5,192.168.0.12,5
5,192.168.0.19,5
5,192.168.0.13,1
6,192.168.0.13,5
6,192.168.0.12,5
6,192.168.0.19,5
7,192.168.0.13,5
7,192.168.0.12,4
7,192.168.0.19,4
8,192.168.0.12,5
8,192.168.0.19,5
8,192.168.0.13,5
9,192.168.0.12,5
9,192.168.0.19,5
9,192.168.0.13,5
10,192.168.0.19,4
10,192.168.0.12,5
10,192.168.0.13,5
11,192.168.0.19,5
11,192.168.0.12,5
11,192.168.0.13,5
12,192.168.0.19,5
12,192.168.0.12,5
12,192.168.0.13,5
13,192.168.0.19,5
13,192.168.0.12,5
13,192.168.0.13,5
14,192.168.0.19,5
14,192.168.0.13,5
14,192.168.0.12,5
15,192.168.0.12,76
15,192.168.0.19,5
15,192.168.0.13,4
16,192.168.0.12,84
16,192.168.0.13,433
16,192.168.0.19,5
17,192.168.0.12,75
17,192.168.0.13,440
17,192.168.0.19,5
18,192.168.0.12,32
18,192.168.0.13,434
18,192.168.0.19,5
19,192.168.0.13,466
19,192.168.0.19,5
19,192.168.0.12,6
20,192.168.0.13,165
20,192.168.0.19,5
20,192.168.0.12,6
21,192.168.0.19,5
21,192.168.0.12,6
21,192.168.0.13,6
22,192.168.0.19,4
22,192.168.0.13,6
22,192.168.0.12,6
23,192.168.0.19,5
23,192.168.0.13,6
23,192.168.0.12,6
24,192.168.0.19,5
24,192.168.0.12,6
24,192.168.0.13,6
25,192.168.0.19,5
25,192.168.0.12,6
25,192.168.0.13,6
26,192.168.0.19,5
26,192.168.0.12,6
26,192.168.0.13,6
27,192.168.0.19,5
27,192.168.0.12,6
27,192.168.0.13,6
28,192.168.0.19,5
28,192.168.0.12,6
28,192.168.0.13,6
29,192.168.0.19,5
29,192.168.0.12,6
29,192.168.0.13,6
30,192.168.0.19,5
30,192.168.0.12,6
30,192.168.0.13,6
31,192.168.0.19,5
31,192.168.0.12,6
31,192.168.0.13,6
32,192.168.0.19,5
32,192.168.0.12,6
32,192.168.0.13,6
33,192.168.0.19,4
33,192.168.0.12,6
33,192.168.0.13,6
34,192.168.0.19,6
34,192.168.0.12,6
34,192.168.0.13,6
35,192.168.0.19,5
35,192.168.0.12,6
35,192.168.0.13,6
36,192.168.0.19,5
36,192.168.0.12,6
36,192.168.0.13,6
37,192.168.0.19,5
37,192.168.0.12,6
37,192.168.0.13,6
38,192.168.0.19,5
38,192.168.0.13,6
38,192.168.0.12,6
39,192.168.0.19,5
39,192.168.0.12,6
39,192.168.0.13,6
40,192.168.0.19,5
40,192.168.0.12,6
40,192.168.0.13,6
41,192.168.0.19,5
41,192.168.0.12,6
41,192.168.0.13,6
42,192.168.0.19,5
42,192.168.0.12,6
42,192.168.0.13,6
43,192.168.0.19,4
43,192.168.0.12,6
43,192.168.0.13,6
44,192.168.0.19,5
44,192.168.0.12,6
44,192.168.0.13,6
45,192.168.0.19,5
45,192.168.0.12,6
45,192.168.0.13,6
46,192.168.0.19,5
46,192.168.0.12,6
46,192.168.0.13,6
47,192.168.0.19,5
47,192.168.0.12,6
47,192.168.0.13,6
48,192.168.0.19,5
48,192.168.0.12,6
48,192.168.0.13,6
