Elapsed Time (s),IP Address,Queries
2,192.168.0.19,2
3,192.168.0.19,5
4,192.168.0.19,5
4,192.168.0.12,2
5,192.168.0.12,5
5,192.168.0.19,5
5,192.168.0.13,1
6,192.168.0.12,6
6,192.168.0.13,5
6,192.168.0.19,2
7,192.168.0.13,4
7,192.168.0.12,5
7,192.168.0.19,4
8,192.168.0.13,5
8,192.168.0.19,5
8,192.168.0.12,5
9,192.168.0.13,5
9,192.168.0.19,5
9,192.168.0.12,4
10,192.168.0.12,5
10,192.168.0.13,5
10,192.168.0.19,5
11,192.168.0.12,6
11,192.168.0.13,5
11,192.168.0.19,5
12,192.168.0.13,5
12,192.168.0.19,5
12,192.168.0.12,4
13,192.168.0.12,6
13,192.168.0.13,5
13,192.168.0.19,151
14,192.168.0.19,365
14,192.168.0.13,4
14,192.168.0.12,150
15,192.168.0.12,364
15,192.168.0.19,323
15,192.168.0.13,5
16,192.168.0.12,397
16,192.168.0.19,377
16,192.168.0.13,355
17,192.168.0.19,351
17,192.168.0.12,397
17,192.168.0.13,464
18,192.168.0.13,549
18,192.168.0.12,431
18,192.168.0.19,360
19,192.168.0.13,446
19,192.168.0.12,390
19,192.168.0.19,388
20,192.168.0.12,392
20,192.168.0.13,437
20,192.168.0.19,351
21,192.168.0.13,485
21,192.168.0.12,444
21,192.168.0.19,360
22,192.168.0.12,407
22,192.168.0.13,454
22,192.168.0.19,366
23,192.168.0.13,437
23,192.168.0.12,383
23,192.168.0.19,362
24,192.168.0.13,417
24,192.168.0.12,396
24,192.168.0.19,344
25,192.168.0.12,377
25,192.168.0.19,340
25,192.168.0.13,438
26,192.168.0.13,514
26,192.168.0.12,445
26,192.168.0.19,369
27,192.168.0.12,375
27,192.168.0.13,329
27,192.168.0.19,342
28,192.168.0.12,419
28,192.168.0.13,493
28,192.168.0.19,361
29,192.168.0.13,481
29,192.168.0.12,400
29,192.168.0.19,355
30,192.168.0.12,430
30,192.168.0.13,459
30,192.168.0.19,423
31,192.168.0.12,390
31,192.168.0.19,374
31,192.168.0.13,505
32,192.168.0.19,366
32,192.168.0.13,438
32,192.168.0.12,426
33,192.168.0.13,415
33,192.168.0.19,373
33,192.168.0.12,408
34,192.168.0.19,276
34,192.168.0.13,424
34,192.168.0.12,406
35,192.168.0.12,397
35,192.168.0.13,381
35,192.168.0.19,302
36,192.168.0.19,314
36,192.168.0.13,442
36,192.168.0.12,414
37,192.168.0.13,422
37,192.168.0.12,380
37,192.168.0.19,260
38,192.168.0.13,453
38,192.168.0.19,257
38,192.168.0.12,373
39,192.168.0.19,287
39,192.168.0.12,397
39,192.168.0.13,431
40,192.168.0.13,382
40,192.168.0.12,364
40,192.168.0.19,250
41,192.168.0.13,449
41,192.168.0.19,263
41,192.168.0.12,351
42,192.168.0.13,415
42,192.168.0.19,282
42,192.168.0.12,417
43,192.168.0.13,445
43,192.168.0.12,345
43,192.168.0.19,264
44,192.168.0.19,248
44,192.168.0.13,461
44,192.168.0.12,415
45,192.168.0.12,398
45,192.168.0.13,406
45,192.168.0.19,125
46,192.168.0.12,389
46,192.168.0.13,452
47,192.168.0.12,411
47,192.168.0.13,440
48,192.168.0.13,418
48,192.168.0.12,415
49,192.168.0.12,359
49,192.168.0.13,395
50,192.168.0.13,401
50,192.168.0.12,402
51,192.168.0.13,382
51,192.168.0.12,400
52,192.168.0.12,392
52,192.168.0.13,445
54,192.168.0.13,431
54,192.168.0.12,403
55,192.168.0.13,448
55,192.168.0.12,70
56,192.168.0.13,236
57,192.168.0.13,0
