Elapsed Time (s),IP Address,Queries
84,192.168.0.12,6
84,192.168.0.13,6
85,192.168.0.19,5
85,192.168.0.12,6
85,192.168.0.13,6
86,192.168.0.19,5
86,192.168.0.12,6
86,192.168.0.13,6
87,192.168.0.19,5
87,192.168.0.12,6
87,192.168.0.13,6
88,192.168.0.19,5
88,192.168.0.12,6
88,192.168.0.13,6
89,192.168.0.19,5
89,192.168.0.12,6
89,192.168.0.13,6
90,192.168.0.19,5
90,192.168.0.12,6
90,192.168.0.13,6
91,192.168.0.19,5
91,192.168.0.12,6
91,192.168.0.13,6
92,192.168.0.19,5
92,192.168.0.12,6
92,192.168.0.13,6
93,192.168.0.19,5
93,192.168.0.12,6
93,192.168.0.13,6
94,192.168.0.19,5
94,192.168.0.12,6
94,192.168.0.13,6
95,192.168.0.19,5
95,192.168.0.12,6
95,192.168.0.13,6
96,192.168.0.19,5
96,192.168.0.12,6
97,192.168.0.13,6
97,192.168.0.19,5
97,192.168.0.12,6
98,192.168.0.19,5
98,192.168.0.13,6
98,192.168.0.12,6
99,192.168.0.19,5
99,192.168.0.13,6
99,192.168.0.12,6
